XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,SBIL,SBILErr,Leading,,,
1_2,XY,505,289.493399,0.422379588,8.785052333,0.015011967,0,,,
1_2,XY,506,290.5874153,0.426310618,8.015362487,0.013853874,0,,,
1_2,XY,507,290.001447,0.381474526,7.94814443,0.012081515,0,,,
1_2,XY,508,290.1280845,0.390559071,8.000559268,0.012512554,0,,,
1_2,XY,509,289.3149552,0.33597524,8.359301947,0.011234492,0,,,
1_2,XY,514,297.1086332,0.422760704,8.2990536,0.013967018,1,,,
1_2,XY,515,290.9047111,0.430909995,8.796505693,0.015514985,0,,,
1_2,XY,516,289.7370302,0.328323453,8.827259925,0.011886326,0,,,
1_2,XY,517,293.692046,0.319156509,8.434750221,0.011088526,0,,,
1_2,XY,518,289.230194,0.383528289,8.324170475,0.012730164,0,,,
1_2,XY,519,286.3319428,0.350435864,7.898982303,0.011553438,0,,,
1_2,XY,520,291.4841402,0.34431815,7.905739615,0.010937449,0,,,
1_2,XY,521,288.9496895,0.394850933,8.353960464,0.013490386,0,,,
1_2,XY,526,295.9606301,0.401605016,7.589963433,0.011817453,1,,,
1_2,XY,527,290.450857,0.400707547,8.361828646,0.013577819,0,,,
1_2,XY,528,290.3186726,0.426886851,8.054078629,0.014159408,0,,,
1_2,XY,529,291.13684,0.428667718,8.063412033,0.014028118,0,,,
1_2,XY,530,292.7619832,0.361051032,8.080198787,0.011631952,0,,,
1_2,XY,531,291.9198644,0.404605159,7.640793433,0.012902628,0,,,
1_2,XY,532,289.7644964,0.412591512,7.740675812,0.012681898,0,,,
1_2,XY,533,291.2649267,0.315338522,8.222074459,0.010572797,0,,,
1_2,XY,538,296.9165228,0.358228257,8.290129073,0.011249672,1,,,
1_2,XY,539,291.8889925,0.392499068,8.965444849,0.014327206,0,,,
1_2,XY,540,289.4750639,0.358634974,8.76580717,0.012473762,0,,,
1_2,XY,541,290.6552721,0.397255127,8.527153354,0.013471321,0,,,
1_2,XY,542,292.1311286,0.394697047,8.666525256,0.013358005,0,,,
1_2,XY,543,289.4349662,0.352018351,8.216013733,0.011405951,0,,,
1_2,XY,544,291.0749287,0.360490406,8.093325054,0.012001617,0,,,
1_2,XY,545,294.4824603,0.297578034,8.403812474,0.00969495,0,,,
1_2,XY,577,295.7254542,0.374646296,9.169059623,0.013787104,1,,,
1_2,XY,578,289.9411531,0.341070625,9.42722915,0.012260933,0,,,
1_2,XY,579,291.3727663,0.381388573,9.483504416,0.014492464,0,,,
1_2,XY,580,291.2430687,0.354793281,9.725910014,0.013640251,0,,,
1_2,XY,581,290.3354154,0.328215808,8.725162902,0.011499222,0,,,
1_2,XY,582,290.442051,0.399822717,8.875673115,0.01420911,0,,,
1_2,XY,583,290.8165887,0.45464717,8.579811217,0.015518945,0,,,
1_2,XY,584,290.547985,0.416093586,9.239892286,0.015506801,0,,,
1_2,XY,589,298.0335932,0.401406298,8.93699306,0.014324669,1,,,
1_2,XY,590,292.1403135,0.3124598,9.309340168,0.011629017,0,,,
1_2,XY,591,290.34819,0.336920411,9.118343215,0.012396318,0,,,
1_2,XY,592,292.4091402,0.372383705,8.829205723,0.013294893,0,,,
1_2,XY,593,291.0074202,0.370631021,8.551283472,0.012839131,0,,,
1_2,XY,594,290.0802604,0.318753878,8.038791374,0.010064702,0,,,
1_2,XY,595,289.2511414,0.381212686,8.456702766,0.013143975,0,,,
1_2,XY,596,289.9804579,0.359515852,8.606941299,0.012594655,0,,,
1_2,XY,601,297.3343624,0.403670954,7.601389809,0.012044103,1,,,
1_2,XY,602,293.2757132,0.368124869,8.149292058,0.011810218,0,,,
1_2,XY,603,291.5838618,0.36936278,7.749780524,0.011949167,0,,,
1_2,XY,604,288.790775,0.337219714,7.978056991,0.010499752,0,,,
1_2,XY,605,291.6466811,0.33926848,8.615953579,0.011789028,0,,,
1_2,XY,606,290.8596052,0.382071554,8.201866982,0.012404643,0,,,
1_2,XY,607,290.8971314,0.367248392,8.109350471,0.011892688,0,,,
1_2,XY,608,289.3235326,0.472657156,8.403224385,0.015997682,0,,,
1_2,XY,613,296.3002086,0.374065483,8.595767686,0.012036025,1,,,
1_2,XY,614,292.8382662,0.330879682,9.001578767,0.01192104,0,,,
1_2,XY,615,289.9528555,0.321915596,8.85673832,0.011305706,0,,,
1_2,XY,616,288.1053039,0.411939,8.66733358,0.014661551,0,,,
1_2,XY,617,289.3995976,0.377197714,8.10945952,0.012052091,0,,,
1_2,XY,618,289.2958701,0.385089569,7.595749166,0.011570132,0,,,
1_2,XY,619,289.7440778,0.367736226,7.636280367,0.011254761,0,,,
1_2,XY,620,289.3780054,0.40202833,7.764702097,0.012719323,0,,,
1_2,XY,628,298.6519184,0.337315936,7.151152869,0.009340131,1,,,
1_2,XY,629,293.8507702,0.2393328,8.163368441,0.007585357,0,,,
1_2,XY,630,291.3351065,0.302253989,8.2696901,0.010003791,0,,,
1_2,XY,631,292.2095411,0.346372631,8.685961067,0.012004298,0,,,
1_2,XY,632,289.125208,0.475946116,7.71025364,0.014732032,0,,,
1_2,XY,633,288.6035762,0.362522634,7.86528809,0.011379642,0,,,
1_2,XY,634,289.4877494,0.409185432,7.783227899,0.012923819,0,,,
1_2,XY,635,291.8319546,0.387411391,8.266805947,0.012731958,0,,,
1_2,XY,640,299.4430307,0.426285699,7.951619971,0.013454016,1,,,
1_2,XY,641,289.6256119,0.421223871,8.751430307,0.01470869,0,,,
1_2,XY,642,290.0340434,0.354679175,8.462450075,0.012094776,0,,,
1_2,XY,643,291.1637875,0.372251575,8.564648829,0.01302696,0,,,
1_2,XY,644,289.8104942,0.419252318,7.960064059,0.013357736,0,,,
1_2,XY,645,288.1178831,0.357728718,7.578542771,0.010906517,0,,,
1_2,XY,646,289.0575541,0.350177895,7.927755142,0.01073586,0,,,
1_2,XY,647,290.4881704,0.402719274,8.068506672,0.013333619,0,,,
1_2,XY,652,295.8940972,0.404625561,7.131646036,0.011269179,1,,,
1_2,XY,653,288.9337614,0.350774266,8.121795203,0.011317748,0,,,
1_2,XY,654,291.84929,0.347547402,7.993235017,0.010557284,0,,,
1_2,XY,655,290.1185113,0.37405418,7.866519819,0.01198432,0,,,
1_2,XY,656,289.8551158,0.429924061,7.806492775,0.013212758,0,,,
1_2,XY,657,290.1946671,0.366221154,7.311016199,0.01095652,0,,,
1_2,XY,658,289.2935631,0.428172874,7.907431429,0.01380451,0,,,
1_2,XY,659,293.0358753,0.308046841,8.152438971,0.009968385,0,,,
1_2,XY,664,295.8828187,0.3951652,8.022645992,0.012788089,1,,,
1_2,XY,665,292.632629,0.42507086,8.870781223,0.015162557,0,,,
1_2,XY,666,291.7358068,0.356017677,8.597208451,0.012060178,0,,,
1_2,XY,667,288.8272046,0.405217076,8.408010846,0.013489637,0,,,
1_2,XY,668,291.7957133,0.305666371,8.065133146,0.009860189,0,,,
1_2,XY,669,288.2108598,0.348308315,7.893903028,0.011244382,0,,,
1_2,XY,670,290.5509376,0.325347644,8.235487991,0.010378519,0,,,
1_2,XY,671,288.1017946,0.392657684,8.21978341,0.012788913,0,,,
